what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.ide.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.ide.ui",1394128273436
stopped,bundle,org.eclipse.mylyn.resources.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.resources.ui",1394128273456
stopped,bundle,org.eclipse.mylyn.context.tasks.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.context.tasks.ui",1394128273456
stopped,bundle,org.eclipse.mylyn.help.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.help.ui",1394128273471
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.9.1.v20130917-0100,"org.eclipse.mylyn.tasks.bugs",1394128273471
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1394128273471
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.tasks.ui",1394128273471
stopped,bundle,org.eclipse.mylyn.versions.ui,1.1.1.v20130917-0100,"org.eclipse.mylyn.versions.ui",1394128273491
stopped,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1394128273491
stopped,bundle,org.eclipse.team.ui,3.7.1.v20130729-1104,"org.eclipse.team.ui",1394128273491
stopped,bundle,org.eclipse.compare,3.5.401.v20130709-1308,"org.eclipse.compare",1394128273526
stopped,bundle,org.eclipse.egit.core,3.0.3.201309161630-r,"org.eclipse.egit.core",1394128273526
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20120516-0617,"org.eclipse.jdt.apt.pluggable.core",1394128273526
stopped,bundle,org.eclipse.jdt.apt.core,3.3.500.v20120516-0617,"org.eclipse.jdt.apt.core",1394128273531
stopped,bundle,org.eclipse.jdt.core.manipulation,1.5.0.v20130605-1748,"org.eclipse.jdt.core.manipulation",1394128273531
stopped,bundle,org.eclipse.jdt.junit.core,3.7.200.v20130514-1154,"org.eclipse.jdt.junit.core",1394128273566
stopped,bundle,org.eclipse.jdt.launching,3.7.0.v20130515-1451,"org.eclipse.jdt.launching",1394128273566
stopped,bundle,org.eclipse.jdt.debug,3.8.0.v20130514-0841,"org.eclipse.jdt.debug",1394128273581
stopped,bundle,org.eclipse.jdt.core,3.9.1.v20130905-0837,"org.eclipse.jdt.core",1394128273896
